X,Y
450.5,491
450,497.5
438,389.5
435.5,400
378,82
374,87
372.5,86
371,85
381,83
375,86
376,90
379,162
350,160
375,206
390,203
396,197
449,490
450.5,500
450,500
445,447
444,453
439,438
438.5,389
453,395
445.5,413
445,385
440,385
401,463
401.5,460
404,455
401,443
402,436
412.5,496
412.5,496
483,322.5
491.5,375
487.5,386.5
442.5,16
431.5,19.5
435.5,20
392.5,84
391.5,87
377.5,93
376.5,91
343,199.5
393.5,230
391,230
390,237.5
392.5,246.5
390.5,245.5
345,253.5
298,333.5
330,391.5
350,353
355,312
398,203
390,225.5
471,225
471,226
460,281.5
460,295
440,296.5
344.5,398
40.5,400
32,390
34,400
118,86
113,83
130,100
78,450
102,440
101,450
100,443
102,455
101,450
103,466
120,470
120,453
116,471
116,481
116,483
117,484
118,485
120,444
160,461
140,234
160,160
159,159
190,70
191,60
182,26
178,33
190,38
190,25
340,45
335,64
280,340
285,342
286,350
188,342
202.5,406
258.5,418
179.5,460
180,444
214,485
212,492
230,488
360,428
359,410
360,404
380,387
388,409
399,254
398,254
406,245
407,240
408,234
407,226
406,229
405,232
361,406
391,330
390,329
393,331
393,330
393,332
392,322
402,388
411,381
419,382
418,392
