X,Y
71.0,85.0
80.5,423.5
74.0,443.5
86.5,108.0
74.0,369.0
85.0,372.0
93.0,364.0
87.0,352.0
50.0,180.0
86.5,349.5
45.0,178.0
85.5,323.0
84.0,332.0
94.0,327.5
71.0,170.0
95.0,320.5
89.0,319.0
72.0,178.0
60.0,190.0
87.0,295.5
74.0,185.0
100.0,275.0
81.5,182.0
87.0,375.0
85.0,358.0
96.0,390.0
92.0,425.5
125.0,488.5
120.5,480.0
121.0,450.0
125.0,440.0
131.0,400.0
114.0,376.0
112.0,370.0
115.0,360.0
125.0,358.0
123.0,345.0
105.0,310.0
98.0,290.0
105.0,264.0
103.0,245.0
100.0,243.0
105.0,228.5
118.0,229.0
103.0,187.0
99.0,180.0
109.0,173.0
101.0,168.5
107.0,162.0
102.0,155.0
110.0,125.0
108.0,132.0
94.0,156.0
120.0,500.0
127.0,500.0
130.0,499.0
111.0,480.0
110.0,71.0
120.0,443.0
120.0,87.0
110.0,438.0
110.0,432.0
121.0,433.0
123.0,419.0
124.0,419.0
126.0,414.0
130.0,407.0
142.0,406.0
150.0,404.0
130.0,385.0
128.0,382.0
110.0,382.0
110.0,378.0
113.0,362.0
120.0,348.0
140.0,352.0
100.0,340.0
150.0,345.0
110.0,329.0
135.0,330.0
142.0,325.0
103.0,309.0
106.0,306.0
130.0,300.0
105.0,290.0
120.0,283.0
110.0,263.0
125.0,265.0
106.0,248.0
120.0,242.0
140.0,241.0
108.0,248.0
130.0,230.0
110.0,210.0
142.0,225.0
120.0,212.0
138.0,212.0
105.0,198.0
130.0,198.0
180.0,497.0
193.0,498.0
170.0,475.0
180.0,487.0
180.0,445.0
180.0,423.0
195.0,430.0
167.0,412.0
175.0,403.0
195.0,400.0
188.0,385.0
170.0,368.0
175.0,350.0
429.0,23.0
411.0,21.0
396.0,38.0
408.0,38.0
411.0,39.5
410.0,40.0
433.0,49.0
446.0,49.5
430.0,60.0
446.0,59.0
421.0,71.0
439.0,73.0
416.0,77.5
410.0,85.0
410.0,79.5
437.0,85.5
438.0,92.0
409.0,100.0
450.0,112.5
334.0,109.0
400.0,110.0
433.0,119.0
428.0,130.0
428.0,130.0
444.0,125.0
434.0,133.0
407.0,129.0
436.0,148.0
401.0,140.0
400.0,155.0
31,132
10,488.5
18,500
10,475
8,339
8,430
6,412
10,405
6,397.5
0,366.5
7,358
11.5,218
6,220
26,166
26,188
33,184.5
42,163
38,173
32,152
11,140
23,339
12,322
7,303
11,270
9,242
5,258
18,254
6,244
4,235.5
3,493
4,465
3,450
7,417.5
9,408
15,399.5
7,375.5
7,368
6,365.5
122,85
108,84
113,87
119,92
113,88
123,126
115,130
121,134
128,140
110,132
115,145
115,141
124,144
92,140
108,148
133,153
108,153
114,160
101,158
97,156
138,150
119,155
126,163
136,164
100,165
124,166
130,174
116,169
100,171.5
140,187.5
160,335
175,338
175,330
160,323
160,310
170,305
180,305
160,285
180,288
160,270
185,265
200,480
230,470
240,470
220,452
200,445
240,450
210,432
242,430
220,420
210,395
237,383
205,380
238,370
200,340
220,326
250,338
210,312
230,309
248,312
205,280
228,282
240,290
211,260
238,265
220,260
235,248
202,245
222,242
250,250
190,232
222,229
243,222
210,205
242,210
202,198
209,190
230,192
300,495
280,490
250,485
250,480
270,460
265,460
290,455
276,455
261,456
250,450
262,450.5
269,450.5
275,450.5
277,451
252,449.5
263,441
279,439
273,437
280,437.5
286,437.5
262,435
270,435
298,430.5
249,426
252,425
264,425
275,424
280,420.5
248,438
257,421
276,422
284,423
282,415
273,417
286,410
258,410
298,416
300,405
295,405.5
286,403.5
246,403.5
270,400
280,398
274,397
300,398
261,390
290,390
288.5,382.5
266.5,382
233,378
274,380
259,376
255,364
272,366
300,365
254,360
246,359
291,358
240,351
292,345
300,335
257,341
262,335.5
295,330
271,329
281,321
300,319
251,319
252.5,319
278,312
284,309
300,309
260,311
291,298
271,296
260,283
325,485
305,480
305,459
342,478
306,446
341,441
300,421
340,430
305,407
300,404
311,398
300,387
336,382
295,380
301,374
315,372
340,370
335,355
301,344
325,349
330,340
342,341
310,326
332,328
320,316
345,320
300,306
332,295
340,286
304,274
329,270
312,258
336,252
297,240
300,221
321,222
332,240
321,219
340,202
372,498
362,497
342,500
370,490
382,478
382,465
376,452
366,442
372,440
347,425
390,410
368,397
366,390
354,380
390,370
360,361
392,330
375,336
358,328
372,321
358,300.5
353,381
390,279
356,262
390,260
394,245
373,242
400,235
371,239
370,236
420,487
440,478
410,452
447,440
442,418
408,398
450,395
408,384
440,382
435,398
415,359
450,352
420,342
430,330
450,324
418,319
435,313
420,302
440,302
412,286
435,284
407,366
420,266
435,270
450,276
442,246
430,248
400,226
425,223
441,230
416,206
440,260
428,193
338,186
400,187
458,474
487,480
496,463
495,451
475,454
480,442
473,430
450,420
480,421
497,416
482,415
470,410
493,390
487,387
470,390
470,380
475,371
484,364
488,358
450,360
450,345
466,335
453,326
71,264
85,280
71,310
80,244
65.5,319.5
61,342
64,337.5
83,232
69,338
83,230
67,348
40,170
48,350
43,358
43,160
62.5,369.5
60,368
55,130
62,375
60.5,384
62,91
72,374
61.5,385
70,92.5
76,399.5
53,476
84,458
62,468
47,470
48,428
46,401
41,411
28,378
41.5,370
44,364
56,278
60,273.5
64,230
29,473
14,453
81,495
82,469
25,300
25,223
15,205
27,136
11,347.5
12,351.5
7,350
9,345
16,330
22,326
22,310
373,105
373,104.5
382,110.5
381,120
377,124.5
375,125
388,140
400,157
366,143
372,153
370,149
367,168
400,160.5
344,169.5
382,175
370,176.5
370,190
390,175
378,182
351,195
360,199.5
400,190
380,194
363,201
392,207
384,207
355,209
351,218
351,219.5
336,56.5
314,63
336,71.5
341,81
339,81
336,82
334,94
343,98
327,122.5
340,120
329,130
342,132.5
350,138.5
308,134
303,137
350,149
289,140
280,139
289,143.5
340,190
290,187
290,247
384,27
376,30
360,60
368,72.5
366,87
376,80
400,82.5
395,94
271,185
279,180
275,189
294,190
248,185
293,194
284,196
255,192
300,190
300,197
290,210
244,191
260,213
292,227
252,216
270,220
270,235
248,220.5
295,230
287,240
252,233.5
250,235.5
247,240
272,250
280,255
256,250
255,256
270,277
341,30
312,53.5
198,128
236,134
230,133
241,132.5
207,153
215,178
241,155
236,180
300,60
300,80
289,78
295,83.5
263,90
282,95
280,109.5
275,118
264,120.5
268,124.5
271,130
260,130.5
278,140
287,172
278,175
258,174
280,175
292,176
268,176
263,178
254,185
296,175
180,88
184,89
177,96
184,100
178,104
180,124
190,128
180,131
