X,Y
362,138
356.5,104.5
327,92
345,94
332.5,84.5
277.5,68
301,63
347,72
342,66
321,55
302,11
348,40
350.5,34
373,26
304,41
317,42
322,60
300,63
280,74.5
340,67.5
343,85
330,93.5
370,0
411,5
441,3.5
486.5,3.5
488,14
422,18
430,15
454,17.5
420,24
370,18.5
443,31.5
473,52.5
500,41.5
456,38.5
437,46
406.5,59
351,76.5
415.5,81
479,87.5
386.5,95.5
423,91.5
427,93
459,94.5
486,90.5
483,90
457,112.5
458,127.5
418,127.5
412.5,132
410,139
396.5,142
378.5,145
435,146.5
405.5,166
380,175
500,121
492.5,142.5
461,151
489,152.5
500,188
406,192
374.5,212.5
430,203
447,203.5
475.5,225
370,234
379,232
411,239
458,239.5
425.5,249
390,260.5
431,264
450.5,270
468,271.5
480.5,264.5
482.5,291.5
381,412.5
380.5,407.5
395.5,409.5
425,403
475,387.5
478,398.5
460,407
464,415.5
465.5,430
375.5,433.5
401,467.5
373,500
390,500
500,500
467,500
0,150
0,223
15,153
5,208
17,262
13.5,226
15,226.5
9.5,30.5
38.5,21.5
38,54
41,80
36.5,123
51,121
41,116
50,184
28,200
29,260
44,288
41,311
20,188
42,185
75,18
76,46
90,42
76,108
65,127
73,142
66,350
84,358
100,33
129,19
110,43
142.5,84
135,90
125,86
141,108
105,112
125,123
133,133
153.5,135
130,160
136,168
111,170
115,180
148,202
106,215
142,216
147,223
103,227
113,246
93,268
146,260
90,288
115,328
147,392
120,431
127,434.5
150,493
186.5,0
232,6
240,10
209,24
213,31.5
259,31.5
265,12
196,63
184,93
199,94
258,110
223,136.5
225,147
212,162
231,191
240,199
223.5,205.5
238,222
260,213
208,235
188.5,291
238,293
245,304
221,318
185,320
210,344
200,365
187,401.5
203,401.5
210,431
225,424
184,442
197,452
177,445
189,455
210,445
218,495
231.5,499
240,427
250,417
280,481
300,495
306.5,471
356,469
270,440
342.5,440
309,422.5
320,427.5
323.5,425
362,419
281,421
290,421
290,405
275,361.5
324,359
348,350
294,334
303,325
323,327
347.5,331
371,327.5
372,325
277,320
290,304.5
320,296.5
361,299.5
299,291
320,271
311,263
310,262
307.5,249
319,245
310,237
303,225
340,252
360,243
352,235
340,217
360,215
298,198
297,173
286,162
286,150.5
320,151
361,154
348,145
