X,Y
200.0,480.0
240.0,450.0
280.0,475.0
280.0,475.0
290.0,468.0
290.0,460.0
270.0,460.0
290.0,455.0
270.0,455.0
280.0,145.0
293.0,158.0
278.0,415.0
240.0,396.0
300.0,197.0
263.0,200.0
290.0,211.0
270.0,223.0
230.0,338.0
230.0,335.0
272.0,306.0
272.0,306.0
248.0,273.0
250.0,273.0
252.0,270.0
262.0,335.5
320.0,430.0
305.0,407.0
300.0,404.0
350.0,380.0
309.0,329.0
313.0,330.0
320.0,330.0
301.0,278.0
305.0,278.0
311.0,278.0
306.0,282.0
312.0,263.0
292.0,228.0
330.0,154.0
327.0,157.0
323.0,63.0
310.0,219.0
300.0,212.0
350.0,240.0
352.0,392.0
398.0,360.0
390.0,360.0
381.0,259.0
387.0,255.0
402.0,371.0
409.0,355.0
400.0,298.0
412.0,298.0
411.0,268.0
420.0,170.0
446.0,170.0
435.0,160.0
478.0,406.0
484.0,406.0
490.0,406.0
110,265
133,259
125,253
118,253
106,248
122,242
130,230
120,211
138,212
170,500
160,478
200,475
200,475
200,475
200,420
192,420
146,420
183,413
180,402
180,401
182,400
193,322
191,234
197,239
194,223.5
190,282
170,282
135,282
200,260
180,305
0,500
12,470
15,450
13,448
10,404
3,401
3,399
3,399
21,429
21,429
23,270
0,255
36,452
36,432
41,430
44,437
49,440
51,451
51,451
68,450
79,450
60,355
60,349
54,347
54,347
56,297
39,240
37,237
47,235
47,234
47,229
48,225
36,228
78,451
82,443
76,300
65,260
66,258
40,230
88,170
88,185
67,255
67,258
55,361
90,415
109,431
93,310
125,261
125,261
95,82
123,380
140,340
140,340
142,318
110,265
175,338
160,335
180,423
167,412
231,59
250,63
210,440
210,440
210,440
220,60
245,405
250,402
195,352
205,352
214,352
228,352
228,352
238,348
190,295
190,295
245,290
245,290
245,290
200,273
200,273
250,250
210,140
243,222
235,248
