X,Y
20.5,10.5
20,0
65,60
78.5,35
80.5,63.5
117,18.5
153,51
159.5,111.5
95,109.5
81,143.5
108.5,132.5
128.5,144
113,129
185.5,72
204,94
190,107
176,139
156,158.5
235,74.5
241.5,46
228,95.5
243,99
254,84
248.5,146
265,143.5
289,119.5
289,119.5
313,102.5
292,65.5
291.5,26.5
316,30.5
276.5,136.5
288,144.5
288,197
303,156.5
309.5,161.5
305.5,170
281,196
321.5,178
330,104
344,112.5
346,189
383,43
472.5,492
448,446.5
432.5,446.5
429,463.5
409,484
324.4,464
289,484.5
253,485.5
273,428.5
255.5,440.5
275,410
202,470.5
221.5,453.5
207,435.5
204.8,488
184,484.5
185.5,455.5
180,441
183,460
164,489
143,496.5
170,448
158,421
170,422.5
340,423.5
350,398
377,390.5
387.5,388
389,377.5
380,373.5
383,340
243.5,224
238.5,282
238,298
227,203
222.5,207.5
219,248
75.5,209
102,310
133.5,202
76,248
15,253.2
54,259
13.5,93.5
20.5,210
21,240
23,293
140.5,352.5
6,143
105,454
140,476
122,441
154.5,427
150,396
103.5,347
72,385
31.5,372
100.5,401.5
80.5,439
53.5,417
0,376
10,350
13.5,305
27.5,376
50.5,121
0,476
26.5,464
50,454
42.5,436
441.5,144
430,45
403,31
406,38
400.5,62
467.5,63.5
454.5,100
452,82
242,297
226.5,334
379,356.5
354.5,351
342.5,348
356.5,117
395,347
360,387
490,437
480,437
70,279.5
70,282.5
