X,Y
46.5,185.0
9.0,258.5
39.5,327.0
84.0,363.5
91.0,337.5
98.0,322.0
50.0,34.0
101.0,286.5
102.5,245.0
137.0,194.0
116.0,162.5
138.5,87.0
162.5,376.0
158.0,417.5
169.0,382.0
289.0,76.0
160.0,129.5
171.0,194.5
122.5,254.0
169.0,325.0
178.0,337.0
35.0,58.0
15.0,94.0
56.5,87.0
74.0,78.0
212.5,171.0
190.5,223.0
182.0,230.0
130.0,286.5
147.5,270.5
160.0,285.0
180.0,275.0
197.0,346.5
208.5,384.0
209.0,350.5
259.5,339.5
264.5,342.5
224.0,334.5
212.0,306.5
211.5,272.0
257.0,211.0
287.5,279.0
269.0,339.5
273.0,395.0
286.0,413.0
343.0,170.0
355.0,240.0
374.5,298.0
353.0,383.0
363.0,386.0
375.0,458.0
412.5,475.5
371.0,396.0
356.5,274.5
369.5,310.0
353.0,314.5
406.5,356.5
407.5,371.0
420.0,357.0
444.0,443.0
455.0,440.0
483.0,445.0
445.5,480.0
429.0,498.0
454.0,360.5
475.0,268.0
483.0,253.0
478.5,172.0
