X,Y
373,90
390,110
384.5,130
332.5,180.5
340.5,154.5
353,152.5
336,227.5
338,237
352,241.5
365.5,217.5
361.5,235
351.5,243.5
350.5,265.5
377,253
316.5,300
329.5,280.5
333.5,298
349.5,278.5
357.5,300
329,324
327,348
338,353.5
336.5,370.5
341,375.5
340,377.5
329,408.5
311.5,408
321.5,401
325.5,415
327.5,411
312,449.5
346.5,323
369.5,265
373,278.5
380,272
367.5,301
389,300
488,183
463,220
311.5,408
321.5,401
325.5,415
327.5,411
312,449.5
346.5,323
369.5,265
373,278.5
380,272
367.5,301
389,300
488,183
463,220
448,230
457.5,256.5
460,272
480,281
490,311
484,324
475,310.5
460.5,285
452,485
434,320
456.5,358
462,187
440,391
442.5,424
447.5,436
447,411
443,485
450,391
415,420
413.5,441
396,454
434,429
415.5,452.5
215,430
215,430
222,423
227.5,430
255,428
254,430
258,435
255,444
266,445
276,432
264,453
236,456
228,449
244,454
210,459
215,445
204,458
187,465
180,460
164,470
167,470
160,495
157,484
169,483
173,495
195,480
218,500
204.5,473
207,484
210,488
213,460
210,465
217,479
215,490
221,474
226,499
229,483
229,496
233,500
254,467
255,480
254,499
274,468
271,493
277,481
281,486
277,481
279,468
289,484
309,450
313,461
320,460
311,460
324,451
333,460
338,452
339,458
344,470
327,483
328,500
346,411
349,422
372,487
372,470
368,482
371,481
347,463
352,450
350,441
351,386
381,380
380,370
378,380
383,381
388,396
398,410
368,430
398,427
410,210
402,229
460,252
405,242
401,250
403,270
414,265
413,320
406,328
396,330
386,335
400,317
438,316
398,345
398,345
398,336
402,315
402,331
411,321
419,322
322,323
405,370
405,354
414,340
418,354
409,357
420,370
410,374
410,380
412,390
420,380
418,365
420,410
417,415
420,425
416,439
414,462
415,487
464,430
457,428
457,440
443,439
448,418
412,413
409,415
175,161
195,132
210,131
198,108
192,101
198,100
190,80
173,44
155,28
179,20
184,35
190,21
202,12
224,17
250,20
280,10
310,26
337,30
345,28
360,10
386,26
375,40
365,55
315,53
315,70
270,60
267,55
241,60
220,90
240,90
246,96
260,100
304,90
353,86
343,100
308,100
286,110
257,118
190,145
230,150
260,140
309,120
350,130
324,155
280,156
250,175
216,170
197,200
260,230
220,230
195,250
231,260
190,290
190,330
214,326
230,310
279,300
334,340
170,360
188,332
193,353
181,347
186,356
170,360
160,375
154,384
161,382
167,383
175,372
180,373
184,387
197,389
200,360
260,372
267,390
270,383
264,402
214,326
230,310
279,300
334,340
170,360
188,332
193,353
181,347
186,356
170,360
160,375
154,384
161,382
167,383
175,372
180,373
184,387
197,389
200,360
260,372
267,390
270,383
264,402
270,370
274,420
273,416
166,410
245,407
227.5,405
218,419
198.5,400
167,401
118,435
127,433
128,452
139,450
159,460
152,450
184,435
184,421
160,463
176.5,480
182.5,488
192.5,448
179.5,462
184.5,465
189,493
193,445
205,446
210,421
203.5,434
421.0,414.0
424.0,427.0
430.0,432.0
438.0,434.0
438.0,448.0
445.0,473.0
439.0,480.0
427.0,489.0
428.0,485.0
423.0,500.0
422.0,496.0
403.0,211.0
410.0,222.0
500.0,500.0
470.0,470.0
465.5,469.0
452.5,430.0
449.0,428.0
445.0,431.0
445.5,445.0
449.0,436.0
447.5,400.0
445.5,394.0
442.5,405.0
441.0,452.0
449.0,469.0
455.0,500.0
452.0,500.0
449.5,493.0
449.0,444.0
460.0,366.0
454.5,370.0
446.0,385.0
439.0,386.0
439.0,82.0
436.0,121.0
424.5,91.5
416.0,102.0
396.5,100.0
367.0,96.0
367.5,103.0
354.0,114.0
410.0,151.0
410.0,101.0
417.0,166.0
406.0,157.0
387.0,152.0
414.0,154.0
420.0,162.0
380.0,164.0
377.5,163.0
376.5,186.0
379.0,183.0
397.0,189.0
419.0,203.0
372.0,216.0
483.0,24.0
488.0,30.0
490.5,36.0
484.5,40.0
473.0,29.0
474.5,43.0
473.0,42.0
473.5,52.0
475.0,63.5
480.0,79.0
483.5,72.5
491.0,71.5
487.0,87.5
479.0,122.0
477.5,124.5
476.5,122.5
470.5,134.0
469.5,142.0
468.0,153.0
469.0,145.0
449.0,162.0
476.5,165.5
471.5,164.0
468.5,170.0
471.0,142.0
490.5,158.5
480.5,141.0
461.0,165.0
457.0,168.0
441.0,173.5
497.0,150.0
479.0,160.5
469.5,168.0
489.0,171.5
487.0,189.5
483.0,193.0
489.0,189.0
488.5,190.5
481.5,190.0
484.0,176.5
483.0,188.0
474.0,177.5
480.0,179.0
475.0,193.0
472.5,183.0
472.5,187.5
490.0,198.0
477.5,201.0
472.0,201.5
476.0,200.0
473.5,200.0
474.0,196.0
473.5,200.5
476.0,199.0
476.5,196.0
485.0,200.0
480.5,194.0
472.5,197.5
470.0,200.5
473.0,209.0
481.0,192.0
478.5,201.0
478.0,201.0
470.0,210.0
472.0,217.5
480.0,215.0
479.5,219.0
481.0,221.5
479.5,225.0
478.5,222.0
483.5,222.5
481.0,221.0
475.0,226.5
482.5,235.5
485.0,237.5
479.0,242.5
476.0,273.0
481.5,277.0
479.5,293.5
479.5,294.0
480.0,288.0
