X,Y
8,32
27,47
35,40
28,44.5
38,41
39,41.5
33,33.5
30.5,21.5
36,24.5
34.5,19
35,24
37,28
41,24
38.5,5.5
37.5,28
50,0
56,3.5
55,9.5
52,13.5
53.5,13.5
47,22.5
48,20.5
45.5,24
54,30.5
45,14.5
52.5,9.5
52.5,11.5
62.5,20.5
54.5,10.5
60.5,25
76,43
89.5,43
75.5,50.5
80,58.5
90,57
80.4,51
95.5,61.5
60,54.5
52.5,57
57.5,63.5
62.5,59
50.5,63
62.5,69
50.5,63
62.5,70.5
61,60.5
63.5,65.5
69,61.5
71,63.5
85.5,50.5
83.5,50.5
83.5,40
69,43
92.5,75
83.5,79.5
72,68
74.5,69.5
76.5,72
89.5,85
32.5,10.5
117.5,27.5
127.5,44
127.5,48.5
121,24.5
126.5,41.5
127.5,27
130,24.5
129.5,20
128.5,31
136,21.5
133.5,31.5
140.5,34
140.5,34
150,32
138.5,24.5
147.5,32.5
147.5,32.5
144,23
151,53
153.5,59.5
163,51
160.5,62
161,116
94.5,119.5
106,122
82.5,145.5
66,152.5
68.5,138.5
66,135.5
76.5,127
71.5,145
55,156
56.5,161
68.5,164
106,133
104.5,138.5
110.5,124
109,124
107,129
106.5,134.5
109,139
98.5,147.5
106,149.5
107,140
102.5,138
107.5,140
110.5,119
110.5,146
111,137.5
111,146
129,155.5
120,124
142.5,129.5
141.5,148
143.5,161.5
138.5,166
170,88
172,90.5
173,91.5
174,86.5
178.5,86.5
184,99.5
184,99.5
185.5,102.5
191,102.5
191,102
192.5,88
195.5,91.5
143,88.5
193,76.5
204,83.5
205,87
220,87
119.5,79.5
204,92.5
203.5,99.5
203,112
204,118
202,106.5
202,105.5
202.5,106
201.5,114
219,111
221,116
220,118.5
219,100
221,108
184,126
190,122
183.5,122.5
185,124
191.5,126
192,129.5
191,125
194,131.5
192.5,141
191,131.5
192.5,141
191,131.5
191.5,102
192,105
202,108.5
201.5,112.5
203,122
204,131.5
202,115
202.5,126.5
155.5,139.5
161,143.5
16,151.5
169.5,153
169.5,155
171.5,155
163.5,155
167.5,143.5
168.5,143.5
185.5,154.5
191,149
183.5,159
166.5,153
137.5,167.5
143.5,172
144.5,174
147,183
167,185
168,197.5
147,183
167,185
168,191
179,183.5
179.5,191
175.5,185.5
238.5,75
242.5,77
242,89.5
225,47
225,47
225,59
248.5,80
253.5,69.5
261,45
271,59
226,112.5
227.5,100.5
226.5,90
228,94
233,93.5
233.5,93.5
233,93.5
233.5,96
245,109
247,118
264,115
264,112.5
254.5,84
250,141
260.5,130.5
260,173
268,164
267.5,172
262,132
261,123
262,137.5
262,137.5
262,137.5
262,145.5
267,135.5
270,142
261.5,143
259,148
260,170
260.5,162
268,142
275,152
272,158
275.5,157.5
280,162.5
280.5,162.5
280.5,160.5
277,164
285,171
279.5,163
274,127.5
270,123.5
270,133
272,142
274,137.5
280,119
278,141
285,129
290,136
296,138
301,118
300.5,127
300,118.5
301,130.5
301,136
302.5,134
301.5,112
302,112
