X,Y
0,151
31,132
31,132
31,134
31,139
31,135
10,491.5
10,492
8,484.5
8,486
18,500
8,339
8,431.5
6,412.5
6,412.5
6,411
10,405
10,398
6,397.5
0,371.5
0,377
0,384
0,383
0,383.5
0,384.5
7,360
7,363.5
11.5,218
7.5,219
7.5,219
7.5,219
7.5,219
7.5,212
7.5,212
7,215.5
7,215.5
6,234
6,230
17,230
17,232
17,229
5.5,24
5.5,225
5.5,220
5.5,220
5.5,221
26,168.5
26,172
26,172
26,175
26,190
26,183
26.5,190
26.5,190
33,180
33,180
33,180
33,180.5
33,180.5
33,180.5
33,181
33,181
33,183
42,163
32,150
38,173
38,173
38,173
43,175
32,145
32,146
32,148
32,149
26.5,150
21,139
3.5,135
3.5,137
3.5,137
3.5,137
3.5,141
3.5,143
3.5,148
1.5,149
1.5,147
0,150
23,355
5,311
6,301
11,270
10,268
9,239
9,236
15,245
5,255
14,243
3,243
20,268
20,268
20,268
20,262
6,242
6,242
6,243
6,245
6,243
6,243
6,245
13,238.5
5,488
5,470
5,475.5
5,485
0,488
0,489
4,473.5
1.5,457
1.5,457.5
1.5,458
2,456
3,455
6.5,445
22.5,421
22.5,421
22.5,420
26,421
10,405.5
10,495
10,496
10,497
12,378
14,380
9,367
6,366
6,367
6,368
6,369
82,477
82,478
76,459
53,476
53,476
53,465.5
63,475
54,471.5
54,460
84,465
86,456
88,465
47,460
47,461
47,461
48,435
42,432
42,435
42,435
57,425
10,138
10,147
10,153
10,96
16,147
20,147
21,147
20,120
20,120
20,102
24,108
27,128
30,87
38,455
50,453
32,450
49,440
81,495
81,488
81,492
81,492
83,490
125,490
111,480
82,477
5,300
9,308
13,308
12,221
12,220.5
12,224.5
19,208.5
19,209.5
19,207
19,205
19,206
19,212
19,208
19,206.5
19,210
19,210.5
19,210
19,210
19,206.5
19,204
19,203.5
19,208.5
19,194
19,195
19,190.5
19,193
19,190.5
15,110
9,100
7,360.5
7,359.5
11,348
11,350
12,351.5
12,350
7,350
2,342
2,344.5
2,346
9,345
22,330
22,329
22,329
23,335
34,314
34,318
22,330
22,327
22,316
22,314
22,309
24,319
24,306
24,312
24,319
24,322
25,324
27,311
