X,Y
308,381
309,381
309,382
305,384
309,388
305,393
304,395
301,398
309,398
305,407
304,415
301,418
309,418
309,422
309,425
305,435
304,433
304,438
309,446
309,456
303,470
301,481
305,485
301,488
303,494
301,500
315,16
314,35
315,48
316,50
316,60
318,72
318,96
312,105
314,118
319,122
311,122
319,125
314,126
311,128
311,133
316,133
319,136
312,140
318,140
311,149
315,154
313,156
319,156
311,157
316,165
311,178
318,194
312,199
314,204
313,238
311,242
313,249
319,249
319,252
313,257
317,265
319,273
314,280
319,284
315,288
319,294
314,299
319,302
311,319
319,320
315,325
318,329
316,332
318,339
315,347
319,350
312,353
312,358
315,360
311,364
311,370
313,383
314,385
314,387
316,392
111,436
119,448
122,35
122,40
122,45
121,95
124,105
127,116
128,130
128,147
121,145
124,147
125,149
128,150
125,170
127,170
125,172
125,177
128,178
121,192
122,198
127,203
124,207
127,208
128,210
123,218
125,217
124,245
48,50
48,65
50,70
37,75
45,75
45,80
44,80
38,80
38,82
33,82
19,85
18,85
18,87
42,95
43,95
34,95
34,98
34,99
34,100
39,102
36,105
40,105
48,105
40,122
36,130
33,130
40,130
45,140
36,140
44,145
0.5,21
0.5,170
0.5,172
0.5,174
0.5,181
0.5,201
0.5,221
0.5,280
0.5,305
0.5,307
0.5,310
0.5,311
0.5,315
0.5,319
0.5,328
0.5,336
3.5,18.5
8,28
8,31
4.5,37
1,43
6,42
4,43
9,45
10,48
11,55
14,73.5
11.5,86
0,142
0,150
5,152
14.5,150
3.5,155
7,171
3,172
14,175
7.5,178
0,181.5
0,182
10,192
22.5,202
8,210
6.5,210
5,213
3,218
0,215
11.5,220
13,215
16,215
19,225
19,230
17,233
7,237
8,244
22,249
9.5,250
7.5,250
14,252
15,255
15,251
21,255
20.5,260
13,261
18,261
23.5,262
26,265
28,274
26,280
17,280
23,284
0,277
15,280
17.5,285
7,285
0,277
4,292
22,297
16.5,305
15,307
10.5,304
17.5,310
18,310
20,310
21.5,315
17,315
11,315
9,322
12,323
21.5,325
10,327
15,330
20,335
22,0
20,3
33,7
36,10
30,10
41,17
40,19
28,19
20,21
26,25
34,27
15,27
40,30
39,30
35,40
12,40
15,41
32,42
27,42
27,45
30,48
34,49
26,47
13,48
20,48
17,52
12,52
27,52
472,109
475,114
472,114
471,117
479,136
472,136
472,144
471,147
472,148
472,162
475,168
473,174
472,182
474,202
476,225
472,227
478,227
474,234
472,241
478,242
472,248
474,248
471,251
472,254
470,257
475,265
470,272
472,276
478,280
485,275
484,278
485,282
483,291
484,293
485,338
489,345
488,347
488,350
485,355
486,364
486,364
484,365
485,377
488,414
475,45
475,48
473,49
474,52
475,61
472,67
476,93
477,96
478,99
479,106
476,108
477,109
475,108
476,110
472,109
493.5,170
490,190
490,207
491,193.5
493,194.5
493.5,217.5
493.5,223
490,236
497.5,251.5
493.5,258.5
496,265
500,277
500,271
500,276
500,277
499,278
490,277
494.5,276.5
495,278
494,278
492,282
492.5,284.5
495,287
496,287
496.5,286.5
500,302
498,320
490,335
497.5,334
500,348
496,28.5
495,39
490,51.5
496.5,44
496.5,55
495.5,55
491.5,59
499.5,68
495.5,76.5
492,79.5
492.5,83.5
490.5,97
492.5,102.5
490,105.5
490,106.5
491.5,106.5
495,111.5
495.5,117
497.5,117.5
495.5,111.5
493.5,136.5
491.5,140.5
490,165.5
497,165.5
500,166.5
500,167.5
500,160.5
493,169.5
494,360
490,418.5
492.5,422
493,422
493,425.5
492.5,427
490,485
497.5,492.5
487,61
482,63
486,104
486,109
481,115
484,119
485,135
482,144
488,167
481,174
481,205
483,204
485,208
484,210
488,217
489,222
485,228
482,231
483,240
484,269
488,269
487,273
453,223
458,222
459,222
453,226
452,226
454,231
450,230
452,231
456,244
452,246
459,265
455,267
450,267
458,271
459,273
457,275
454,277
453,278
455,278
454,298
458,297
458,305
454,307
453,299
453,306
459,313
476,282
479,284
478,291
477,295
472,295
473,303
474,309
472,369
471,376
473,411
472,422
479,433
451,130
459,139
459,135
459,144
459,156
458,160
455,162
456,166
455,190
450,197
455,196
455,199
452,204
455,210
452,212
453,214
465,447
455,12
458,15
455,25
456,28
452,34
452,41
456,46
452,46
452,49
455,49
458,49
455,51
454,50
459,53
453,56
453,56
455,86
452,90
457,93
459,95
450,98
457,106
453,119
459,124
451,133
468,276
469,283
461,286
466,290
462,291
463,293
460,295
463,297
461,299
465,304
463,306
462,309
461,309
468,309
465,333
460,325
462,352
461,382
460,386
465,386
461,393
469,390
462,402
466,427
461,433
465,436
461,433
461,435
465,436
465,180
469,180
468,180
463,183
468,184
463,186
469,186
464,191
468,190
469,193
462,193
460,194
464,197
463,218
463,224
465,332
468,244
463,244
460,246
468,248
465,260
465,261
465,263
463,262
462,265
468,270
468,276
465,273
462,273
468,115
464,116
468,128
460,130
467,135
465,136
460,136
465,137
465,139
462,144
462,145
461,149
466,161
469,156
466,161
465,160
462,163
462,163
465,163
466,162
463,167
462,166
465,170
465,172
463,172
463,174
464,175
463,179
462,181
458,314
455,325
458,326
459,337
453,359
458,360
456,366
455,369
458,397
455,403
455,408
456,408
453,413
458,425
451,425
454,425
450,437
452,438
456,435
452,441
466,4
465,43
464,55
469,58
461,62
466,65
465,68
465,68
465,68
463,71
469,71
461,74
462,77
467,99
461,104
462,103
463,105
468,105
469,105
463,105
462,109
467,109
468,108
469,109
464,112
468,112
469,112
469,112
445,222
443,225
441,225
448,226
442,230
442,230
443,233
447,232
444,234
443,238
442,242
445,242
440,253
444,277
444,281
445,283
449,283
447,285
440,287
441,296
448,290
440,310
440,310
442,307
448,307
449,307
448,307
446,324
448,345
445,350
445,85
446,83
447,93
444,95
448,93
442,115
443,105
449,100
447,118
443,124
449,124
441,129
442,132
443,137
445,137
443,141
448,140
448,143
448,144
448,146
444,155
445,162
442,170
448,182
447,205
447,205
440,206
442,209
444,218
441,17
443,19
446,22
442,24
442,28
445,28
443,27
445,27
448,22
449,22
440,30
445,29
448,27
446,32
446,33
449,36
448,45
445,47
445,47
447,50
443,51
448,54
442,60
441,62
444,62
444,62
440,86
440,86
446,86
433,72
430,75
432,77
432,88
432,74
438,88
436,92
430,97
433,99
434,106
435,108
431,112
432,120
433,124
438,125
439,126
437,126
432,129
436,134
436,141
438,142
433,203
439,205
435,211
435,219
438,220
437,228
438,229
369,170
364,185
369,185
367,185
367,190
365,194
365,195
367,200
365,203
365,210
369,211
364,213
361,249
369,245
365,250
366,250
363,270
365,280
355,153
357,153
351,155
362,287
365,290
368,290
365,294
369,294
368,295
368,300
369,303
366,305
363,314
368,315
368,318
366,62
362,64
364,70
361,73
361,76
366,80
366,85
362,89
366,89
367,89
362,90
364,90
361,97
366,97
365,102
368,110
369,112
365,123
365,130
367,135
364,143
365,150
365,156
365,159
362,162
368,162
369,162
362,164
364,164
367,168
350,360
351,365
351,380
353,425
358,425
351,426
353,426
355,426
359,426
355,430
356,430
350,433
354,433
358,435
352,437
351,450
369,40
368,46
365,50
365,55
366,56
364,57
365,57
369,57
361,60
363,60
364,60
365,60
367,60
354,224
355,225
359,225
354,228
355,228
357,248
355,250
358,275
358,280
353,284
352,290
355,290
357,299
355,303
358,303
352,310
353,310
352,315
351,316
357,325
355,330
359,335
351,345
355,345
353,350
355,350
350,353
359,353
355,356
353,359
444,352
445,356
440,356
448,390
448,413
448,427
441,443
448,427
441,443
448,438
449,457
431,0
431,4
432,12
439,14
431,22
436,25
434,28
438,33
437,37
438,38
439,38
439,40
439,46
435,55
438,63
432,62
431,64
435,65
439,66
431,70
432,69
379,453
375,473
375,272
375,274
371,277
373,281
374,279
379,282
373,280
374,279
379,282
373,280
373,280
375,284
379,290
375,290
372,294
373,313
379,319
376,325
371,328
379,334
371,338
371,335
370,342
373,342
373,342
372,358
375,383
376,385
371,393
379,393
375,400
375,400
376,450
378,106
373,109
373,119
373,126
375,135
370,141
372,154
372,157
372,155
372,159
375,158
375,164
378,163
375,170
371,174
373,176
379,183
370,183
374,188
378,188
379,189
374,193
379,194
371,196
375,214
371,237
372,253
374,258
371,269
378,267
375,0
370,23
375,21
376,35
371,38
372,37
375,42
377,42
370,46
373,44
372,50
372,62
373,73
370,75
370,77
370,81
375,84
371,88
378,88
378,88
373,90
374,90
379,90
370,94
373,94
373,98
379,98
375,100
375,102
379,101
389,309
385,310
385,316
389,317
389,328
388,335
383,335
383,338
382,340
383,340
384,346
387,344
381,352
382,369
385,380
385,385
383,394
389,397
389,417
380,452
383,455
381,463
383,472
386,476
389,484
388,485
373,0
385,249
388,249
388,252
384,254
388,256
382,261
386,263
386,236
386,265
388,263
381,272
388,263
381,272
388,270
389,275
389,275
389,277
388,280
386,283
382,283
385,285
385,285
383,286
383,288
382,290
383,290
380,292
388,296
388,298
388,298
388,304
388,304
389,173
384,175
385,179
381,182
384,184
385,184
387,185
387,191
385,192
381,193
387,193
383,194
383,194
380,199
381,200
386,200
382,205
382,205
386,206
383,208
383,210
384,213
385,210
388,210
384,222
384,222
387,220
386,226
387,235
382,249
393,480
397,480
381,23
380,26
384,22
384,25
382,33
385,30
387,39
388,70
389,80
383,102
384,105
388,104
383,109
383,111
385,111
383,113
384,113
381,116
388,123
386,138
385,148
385,152
382,161
382,164
388,159
387,168
388,167
387,170
395,368
395,371
398,370
399,374
391,379
396,386
397,392
394,386
396,395
398,397
397,399
399,400
397,402
397,407
398,404
399,416
398,428
398,428
398,436
393,439
394,440
393,448
395,450
392,458
393,458
393,461
395,467
399,240
390,244
393,248
390,251
393,251
399,254
399,255
398,255
392,257
392,260
391,270
391,273
399,275
398,279
398,282
398,288
396,288
390,291
395,301
397,308
395,314
392,323
392,340
392,343
392,343
392,348
398,363
392,364
399,116
397,117
394,119
396,121
398,125
390,128
393,135
393,141
393,143
395,143
397,144
398,149
395,160
392,163
395,169
398,168
395,172
392,177
397,178
396,182
390,185
399,208
391,208
395,204
395,206
399,209
395,229
399,240
409,465
407,469
400,473
406,471
407,465
403,467
402,467
401,482
390,0
399,5
