X,Y
331,218
335,228
335,224
295,251
310,241
310,251
310,252
389,319
335,341
341,344
341,348
344,349
364,360
364,370
370,340
370,370
365,344
374,338
374,344
380,344
380,332
380,334
380,335
380,345
380,344
362,334
362,335
380,344
295,371
302,369
302,372
314,367
314,375
310,393
321,382
310,389
310,391
428,265
433,262
433,269
428,275
432,284
415,290
450,260
450,272
450,278
450,280
453,254
453,261
453,266
453,271
456,262
456,270
456,271
460,261
460,268
463,250
468,255
468,272
468,280
468,289
474,260
474,270
474,275
476,266
476,287
476,288
479,262
479,263
479,271
479,275
480,259
480,265
480,270
480,283
480,284
485,260
485,268
485,279
485,288
490,277
490,278
490,282
490,285
490,290
440,295
445,280
445,300
455,280
455,295
455,298
460,281
460,295
468,285
479,285
488,302
488,295
473,305
473,312
473,321
473,323
480,307
480,310
480,315
480,318
480,330
495,315
495,317
500,310
500,317
500,320
500,322
500,232
500,255
120,232
120,245
158,278
155,296
157,300
162,295
165,295
166,294
166,299
166,298
170,296
250,0
265,1
265,5
255,15
270,18
276,20
282,12
275,22
273,26
266,34
271,31
264,32
256,36
253,36
261,41
253,42
270,48
486,358
486,356
490,356
493,355
492,354
492,353
492,345
485,390
490,386
486,386
485,386
482,386
468,385
465,390
385,382
445,368
443,370
453,368
433,365
433,368
458,368
460,368
463,368
433,363
402,336
471,355
470,355
472,350
470,348
475,468
476,363
486,363
308,460
312,460
305,460
312,458
318,455
325,485
320,483
323,485
320,480
323,481
322,483
310,478
308,478
312,472
302,466
305,455
295,450
290,450
288,450
290,453
295,445
318,440
390,440
388,435
305,435
315,440
315,438
320,436
275,335
270,328
270,430
268,430
268,440
210,438
293,370
290,360
298,360
298,380
300,270
300,268
310,498
328,498
338,490
353,460
328,478
353,445
350,438
355,428
353,435
350,420
350,420
370,425
373,435
385,428
385,432
385,440
348,473
340,425
390,430
363,418
373,413
360,430
358,432
360,435
365,428
365,420
355,420
360,415
370,408
360,415
390,405
340,385
350,380
345,350
348,340
368,350
370,345
373,345
380,345
220,20
220,29
170,20
170,23
170,28
174,2
178,11
180,10
160,40
151,52
153,56
155,58
141,63
142,63
143,63
145,63
143,68
141,70
154,55
157,65
173,10
178,0
178,0
178,10
185,0
196,21
196,20.5
200,11
200,16
200,36
