X,Y
55.0,35.0
55.0,31.0
84.5,36.5
103.0,35.5
104.0,37.5
40.5,63.5
62.0,65.0
21.0,75.5
13.5,82.5
10.0,94.0
19.0,94.0
20.0,98.5
22.0,103.0
9.0,111.5
19.5,114.0
16.0,122.0
19.0,119.5
34.5,114.5
40.0,116.5
22.0,128.0
37.0,125.0
50.0,113.0
55.0,87.0
65.0,88.0
72.0,87.0
73.0,92.5
79.0,86.5
84.0,92.5
86.5,88.0
83.0,88.5
82.0,93.0
74.0,101.0
79.5,99.5
86.0,99.0
86.5,105.5
70.5,105.0
63.5,102.5
63.5,106.5
69.5,104.5
64.0,119.5
47.5,110.0
10.0,137.5
7.5,154.0
12.0,150.5
33.5,148.5
64.0,111.0
69.5,112.5
89.5,120.0
76.0,130.5
68.5,125.5
75.0,134.5
75.0,133.5
75.5,126.0
71.0,130.5
55.0,131.5
66.5,140.0
60.5,141.0
52.5,133.0
93.0,126.5
91.0,124.0
98.0,121.0
88.0,123.5
94.0,124.5
95.0,121.5
95.5,128.0
54.0,143.0
61.5,151.0
63.0,127.0
47.0,154.0
61.0,155.5
50.0,158.0
58.0,154.0
60.0,152.0
61.5,153.5
53.5,157.5
51.5,153.0
45.0,146.0
43.0,153.0
66.5,155.5
66.5,154.5
67.0,155.0
92.0,143.5
90.5,146.0
85.5,140.5
84.5,143.0
92.0,147.5
83.0,145.0
76.0,154.5
94.0,141.0
79.0,162.0
82.0,160.5
84.0,157.5
79.5,172.5
83.0,173.0
90.5,165.0
106.5,157.5
158.0,108.5
115.5,161.5
181.0,110.0
174.0,111.5
185.5,109.0
183.0,114.0
186.0,129.5
193.0,126.5
195.5,147.5
177.0,127.0
139.0,129.0
165.5,127.0
132.5,135.0
135.0,139.5
118.5,147.5
131.5,147.0
138.5,137.5
147.5,137.5
120.5,152.0
124.0,150.5
135.0,152.0
123.0,159.5
131.0,162.0
147.5,162.5
167.0,127.0
169.5,133.5
43.5,183.0
41.0,192.5
39.5,196.0
38.0,197.5
58.0,103.0
66.0,212.0
65.5,213.0
61.0,207.5
72.5,215.5
65.0,224.0
128.5,191.5
174.5,167.0
166.0,174.0
178.0,157.0
185.5,178.0
160.5,204.0
212.0,166.0
210.0,173.5
213.0,179.5
220.0,174.0
222.5,178.0
238.5,173.0
239.5,180.0
242.0,190.0
243.0,198.0
263.5,179.0
248.0,180.0
200.5,174.5
201.0,198.0
204.0,204.0
222.0,202.5
229.5,200.0
228.5,203.5
245.5,215.0
268.0,219.0
264.0,218.0
279.0,232.5
256.5,186.0
161.0,197.0
78.0,219.5
113.0,245.0
66.5,239.5
67.5,242.5
9.0,250.0
4.5,251.0
7.0,266.0
120.5,250.5
126.5,248.0
145.5,275.0
192.0,231.0
195.5,228.0
216.5,302.0
207.0,300.0
236.5,232.5
235.0,235.5
239.0,239.0
252.0,234.0
251.5,247.0
196.0,320.0
30.0,345.0
277.0,340.0
306.0,287.0
312.0,255.0
318.5,258.5
341.0,260.0
406.0,368.0
435.5,383.5
444.0,372.5
