X,Y
6.0,497.0
4.0,461.5
1.5,457.0
0.0,402.0
2.5,355.0
0.0,314.5
0.0,216.5
0.0,135.0
0.0,100.5
0.0,90.5
0.0,90.0
8.0,12.0
60.0,26.0
0.0,55.0
0.0,53.0
0.0,63.0
7.0,37.0
7.0,43.5
6.5,64.0
28.5,56.0
28.0,60.5
19.0,71.0
24.0,75.0
16.5,67.0
14.5,65.5
40.0,65.5
46.0,59.5
42.0,75.0
46.5,81.0
39.0,80.0
38.5,83.5
18.0,114.0
31.0,143.5
15.0,145.0
40.0,115.0
84.0,26.0
87.0,11.0
93.0,13.0
93.0,12.5
55.0,55.0
71.0,67.0
144.0,2.0
150.0,0.0
136.0,0.0
156.0,0.0
190.0,44.0
187.5,36.0
90.0,44.0
70.0,25.0
75.0,44.0
27.0,466.5
27.0,488.0
27.0,487.0
17.0,456.0
17.0,445.0
0.0,438.5
1.0,444.0
9.0,436.5
0.0,390.0
0.0,367.0
0.0,273.0
0.0,254.5
31.0,265.0
12.5,239.5
16.0,232.0
47.0,204.0
0.0,194.0
12.0,166.5
60.0,210.5
66.0,215.0
44.5,153.5
24.0,167.5
60.0,170.0
65.0,167.0
70.5,166.0
13.0,170.0
61.0,165.0
61.0,182.0
66.5,163.0
66.5,173.0
51.0,166.0
46.0,157.0
63.0,163.0
54.0,180.0
72.0,190.0
33.0,150.0
54.0,123.0
29.5,57.0
68.0,40.0
74.0,39.5
124.0,74.0
109.0,91.0
95.0,98.5
150.0,93.5
101.0,60.0
100.0,64.5
90.0,65.0
115.0,44.0
165.0,43.5
163.0,51.0
166.0,25.0
154.0,36.5
176.5,27.0
161.0,35.0
140.0,128.0
135.0,124.0
102.5,125.0
106.5,144.0
115.5,145.0
116.0,162.0
118.0,109.0
136.5,79.0
150.0,73.0
138.0,64.5
141.0,50.5
145.0,43.5
139.5,79.0
159.5,100.0
165.5,161.0
157.5,172.0
152.0,170.0
218.0,54.0
205.0,61.0
185.0,61.0
183.0,59.0
154.5,104.5
16.0,332.0
0.0,369.0
31.5,404.0
0.0,401.0
