X,Y
275,126
116,259
115.5,268
317,63
123,190
120,196
112,196
113,200
111.5,244
324,64
324,67
324.5,56
324.5,60
324.5,65
114,271
119,285.5
122,292
345,43
368,35
116,203.5
131,238
112,287
107,303.5
330,121
369,64
122,210
384,28
384,28
126,268
122,271
96,375
203,92
202.5,90
206.5,104
203.5,97.5
77,385
206,91
82,396
247,36
103,343
306,19
315,12
322,9.5
317,8
94,475
288,99
286,93
290,117
290,120
110,300
315,17
110,310
319.5,15
315.5,3
321,30
323,28
323.5,26
114,334
287,120
283,125
41,197
123,84
127,83
34,313.5
56,216
41,310
111.5,148
171,78
178.5,79
175.5,79.5
174.5,79.5
190.5,69
186,79
196,65
173.5,81
165,84
158.5,77
180,80
182,88
188.5,63
189,63
156,130
156,130
80,258
75,261
67,273
67,275
55,275
110.5,289
200,88
415,140
296,160
332,184
332,192
341,183
417,260
337,222
342,224
344,225
345,225
346,235
324,222
400,143
338,380
336,410
392,291
392,300
392,300
321,425
313,342
312,332
312,357
322,377
321,390
321,400
319,401
319,402
318,407
318,408
330,322
330,323
384,270
338,495
326,499
299,482
202,331
202,329
202,331
208,334
221,335
215,361
202,380
202,414
202,415
202,418
198,420
198,421
200,441
200,447
200,448
206,434
206,437.5
206,450
202,450
211,434
211,434
217,442.5
215,447
209,493
210,492
231.5,275
231.5,276
231.5,283
214,327
214,327
214,330
214,327
214,327
219,328
225,330
229.5,388
267.5,203
267.5,203
279.5,117
279.5,122
275,113
290,237.5
290,241.5
241.5,274.5
241.5,274.5
241.5,274.5
241,328.5
244,329
250,202
271.5,400
271.5,413
271.5,416
275,400
270,396
279.5,400
279.5,341
305,327.5
304,339
305,351
293,363
287.5,390
297,382
295,443.5
275,455.5
280,455
298,411.5
298,411.5
280,414.5
282,428.5
437,413
437,410
436,333
434,423
434,419
434,367
434,365
434,358
434,359
434,403
427,433
427,418
423,430
423,483
415,402
415,403
415,404
384,380
107,286
382,81
382,87
284,49.5
120,452
390,106
395,101
399,100
400,91
404,88
397,103
410,98
410,96
410,94
410,88
410,87.5
424,100.5
190,150
193,153
193,154
159.5,207
135,228
133.5,236
185,286
188.5,414
193,176
193.5,203
195,205
195,208
195,214
195,215
197,220
197.5,201
198.5,197
198.5,203
198.5,208
200.5,226
200,233
203.5,224
215.5,217
216,196
190.5,160
191,179
468.5,345
468.5,340
194,264
178,335
178,337
484.5,459
493,455.5
212,190.5
218,241
218,236
222,61
230,132
230.5,127
232,127
231,177
17,47
19,57
19.5,66.5
20.5,61
21,50
21,60
21,59
21.5,65.5
22,54
28,70
28,62
33,63.5
0,120.5
6.5,146
7.5,138
8,139
17.5,136.5
17.5,139
19,133
15,362.5
15,363
73,106
55.5,112
56.5,179
51.5,186.5
39,182
52.5,190.5
39.5,188
