X,Y
30,26
18,125
9,15.5
46,155.5
80,141
25.5,95.5
61,192
116,243
20,283
133,19
13.5,235
184,45
15,307
221,44
81,184.5
29,257
192,18
102.5,157
172,11
221,3
171.5,218.5
236,91
52,337
313,15
165.5,218
209.5,242.5
267,35
221,154
273,257
325,226
280,242
283,224
262,151
247,247
250,141
261,138
497,422
396,458
396,437
414,148
435,449
489,380
490,407
383,151
470,311
477,287
369,120
460,281
484,409
430,268
383,181
473,261
370,180
400,447
477,229
330,150
310,157
416,72
285,284
298,151
300,135
353,355
271,133
264,120
243,109
397,49.5
429,56
170.5,427.5
64,348
417,65
174,407
376.5,17
386,20
54,356
257,461
398,10
214,464
404,19
103,378.5
409,8
286,441
430.5,4
293,412
274,450
409,20
132,360
308,383
439,23
330,485
455.5,24
76.5,488
372,438
88,440
437.5,50
351,425
463,55
369,419
495,4
494,22
18,485
343,348
478,57
6,477
500,98
21,448
350,315
335,284
478,149
278,295
424.5,103
300,247
445,128
471,484.5
469,490
426,226
438,205
360,289
460,465
427,190
356,287
377,314
442,169
417,172
61,334
203,178
312,73
163,275
75.5,301.5
189,153.5
334,79
350,66
104.5,347
227,298.5
314,39
256,301.5
55,378
341,53
259,365.5
336,27.5
193,311
198,348
178,307.5
334,85
149,391
19,384
358.5,52
57,388
168,464
385,66
183,470
393,63
79,373
61,334
203,178
312,73
163,275
75.5,301.5
189,153.5
334,79
350,66
104.5,347
227,298.5
314,39
256,301.5
55,378
341,53
259,365.5
336,27.5
193,311
198,348
178,307
334,85
149,391
19,384
358.5,52
57,388
168,464
385,66
183,470
393,63
79,373
