X,Y
28.0,185.0
38.5,173.5
55.5,186.0
63.5,186.5
68.0,191.0
53.0,207.5
60.0,220.0
52.0,226.5
0.0,277.5
36.0,292.0
29.5,300.0
16.5,313.0
2.0,331.0
66.0,366.5
47.5,376.0
44.0,380.0
35.0,377.5
27.5,350.0
24.0,321.5
10.5,353.0
11.5,340.0
20.5,348.0
3.0,335.5
13.0,341.0
55.0,357.5
61.0,367.0
65.0,360.0
65.5,364.5
67.0,374.5
90.0,368.5
89.5,372.5
94.0,362.0
99.5,387.0
124.0,360.0
122.0,349.5
103.0,312.5
112.5,310.0
108.5,307.0
117.0,306.0
106.5,306.0
112.0,298.0
111.0,295.0
112.0,295.0
120.0,295.0
63.0,30.0
64.5,29.0
70.5,22.0
52.5,26.0
31.5,25.0
51.0,5.0
55.5,1.5
93.0,271.0
106.5,268.0
107.0,272.0
117.5,283.0
121.5,281.0
125.0,275.0
128.0,268.5
133.0,273.0
87.0,252.5
133.0,191.5
137.0,178.5
137.0,191.0
141.0,187.0
145.0,186.5
149.0,190.0
158.0,176.5
133.5,156.5
137.0,155.0
148.0,168.0
131.0,379.5
139.0,367.5
143.5,360.0
144.5,358.0
141.0,363.5
141.0,382.0
152.0,369.0
135.0,338.5
132.5,338.0
173.0,425.0
151.5,415.5
159.0,416.0
197.0,201.0
209.0,193.0
210.0,184.5
151.0,256.0
177.0,287.0
180.0,351.0
177.0,352.0
174.0,355.0
184.0,367.5
182.0,358.5
183.0,367.0
199.0,365.5
207.0,169.0
200.0,187.0
198.5,208.0
195.5,217.0
200.0,266.0
199.5,264.5
114.0,243.5
125.0,295.0
128.0,304.0
138.0,298.0
129.0,294.0
126.0,293.0
125.0,286.0
127.0,288.0
136.0,205.0
140.0,308.0
189.0,280.5
221.0,371.5
167.0,361.0
175.0,352.5
182.0,356.0
180.0,360.0
192.0,378.0
176.0,377.5
178.0,377.0
206.0,385.5
197.0,382.0
215.0,379.0
211.5,374.0
217.0,376.0
216.5,376.5
219.5,373.5
215.5,371.0
215.0,373.5
220.0,358.5
223.5,364.0
227.0,372.5
229.0,384.0
229.0,377.5
227.5,380.0
233.5,380.0
235.0,386.0
230.0,387.5
233.0,380.5
235.5,378.5
258.0,362.0
264.5,375.0
273.0,372.5
250.0,340.0
190.0,264.0
191.0,259.0
194.0,261.5
184.0,253.5
200.0,239.0
250.0,230.0
245.5,220.0
246.0,209.5
250.0,200.0
270.0,275.0
284.0,303.0
249.0,361.5
257.5,364.0
256.0,370.0
259.0,370.5
270.0,430.0
261.0,433.5
274.5,426.5
277.0,433.5
298.0,450.0
297.5,443.5
291.0,445.0
313.0,426.5
308.0,423.0
313.0,426.0
323.0,410.0
366.0,175.0
383.0,180.0
390.0,186.0
390.0,141.0
344.0,247.5
246.0,337.0
233.0,339.5
338.0,252.5
380.0,314.0
392.0,324.0
393.0,317.0
397.0,327.0
395.0,334.0
386.0,341.5
347.5,352.0
352.0,360.5
350.0,366.0
368.0,391.0
360.5,395.0
383.0,410.0
380.0,427.0
380.0,423.0
384.0,439.0
389.0,436.0
391.0,430.5
397.0,432.0
340.0,454.5
344.5,457.0
338.0,462.5
341.0,470.5
380.0,436.5
380.0,436.5
372.0,444.0
366.0,266.5
368.5,275.5
370.0,266.0
403.5,313.0
400.0,321.0
385.0,320.0
384.0,333.0
384.5,330.5
383.0,336.0
383.0,378.5
372.0,377.0
383.0,385.0
375.0,375.0
363.0,387.0
440.0,386.0
450.0,384.0
411.0,417.0
417.0,420.0
405.0,424.5
460.0,473.0
460.0,470.0
457.5,470.0
480.5,446.0
484.0,314.0
488.0,275.0
473.0,283.5
476.0,152.5
