X,Y
353,47
114,500
122,496
351,57
116,500
146,153
125,184.5
366,60
120,196
119,230.5
335,110
125,245
352,115
129.5,245
353,96
108,302.5
365,104
118,273
115.5,320
330,115.5
327,116
114,383
324,120
116,390
389,62
120,410
352,112
127,465
364,124
386,112
104,381
390,106
108,420
105,444.5
398,87
106,455
392,72
115,477
398,57
112,484.5
117,458
117,463
384,112
120,472
120,492
402,93
120,498
116,497
156,148
407,111
168,167
138,198
135.5,212
429,88.5
136,213
134.5,232
129.5,250
420,60
189,156
128,188.5
358,99
114,206
360,108
128,234
127,199
387,109
124,275.5
395,100
126,224
123,257
119,274
384,43
383,61
129,291
390,70
122,267
119,304
119,333.5
392,67
69,351
393,55
99,398
392,40
88,416
397,29
64,482
412,39
110,410
110,437.5
439,39
441,48
177,160
172,166
424,96
195,154
173,170
442,72.5
166,193
452,50
163.5,204
162,228
457,67
142,237
441,110
149.5,249
447,71
154,267
152,187
445,80
151,300
477,64
481,39
494,14
177,235
180,241
182,265
185,282
186,295
185.5,316
500,112
185,315
184.5,314
184,273
184,286
186,313
500,140
187,310
187,312
187,336
187,332
500,135
189,318
188.5,327
186,343
186.5,354
500,146.5
186,368
187,370
187,359
500,159
187.5,382
188,402
500,171
188.5,414
188.5,381
495,190
188.5,417
458,319
213,238
215.5,217
208,250
474,339.5
189.5,249
476,341
498,380
186,386
187,295
500,401
175,347
492,412
175,329
175,350
178,330
498,455
177.5,370
177,365
177,375
493,500
495,102
176.5,430
174,428
174,447
174,457
175,470
488,127
189,410
495,214
189,415
189.5,450
189.5,466
189.5,435
495,222
191,480
191,490
192,492
497,181
192,486
487,203
480,220
193,190
471,242
480,272
195,209
197,220
453,287
200.5,236
204,213
490,300
200,246
200.5,244
470,310
203.5,240
204,248
200.5,226
500,315
427,402
427,488
427,473
427,481
427,485
427,362
427,437
427,444
427,333
427,432
427,418
427,360
427,425
427,431
427,406
427,376
427,279
427,479
427,476
423,440
423,337
423,420
423,364
423,410
423,406
423,386
423,499
423,312
415,496
437,460
437,459
437,452
437,372
437,362
437,420
437,303
437,432
437,336
437,413
436,407
436,362
436,393
436,386
436,396
436,397
434,376
434,470
434,460
434,482
434,380
434,433
434,428
434,370
434,417
434,411
434,408
434,404
434,394
434,363
453,410
453,220
448,287
448,400
448,440
448,480
448,380
448,375
448,352
448,314
441,200
441,307
441,490
441,478
441,382
441,213
441,465
441,444
441,212
441,221
441,357
441,230
441,348
441,398
441,385
441,352
441,282
437,472
437,355
437,227
475,147
481,158.5
494,213
488,410
486,200
230,135
471,174
476,148.5
228,181
456,143
456,456
232,148
444,128
237,124
455,156
251.5,126
445,154
255,131
449,178
254,136
463,493
255,130
435,173
453,497
183.5,307
184,285
453,220
453,331
453,417
453,227
400,358
400,438
400,420
400,410
400,309
400,420
400,421
400,250
400,300
400,474
400,464
400,457
400,450
400,347
400,434
400,426
400,435
400,410
400,400
400,375
392,387
392,338
392,490
392,324
392,460
392,466
392,469
392,445
392,383
392,400
415,496
415,300
415,487
415,479
415,466
415,290
415,440
415,424
415,435
415,423
415,325
415,327
415,414
415,399
415,489
415,320
415,460
415,446
415,333
415,434
415,424
415,410
415,394
415,370
415,376
415,390
400,376
400,475
400,462
400,372
196,303
196,315
193,348
196,326
202,306
194,403
205,430
213,419.5
222,403.5
219,482.5
215,480
207.5,487.5
210,469.5
216,468.5
230,251
234,269.5
216,305
220.5,282
221,289.5
220.5,298.5
219,304
219.5,306
219.5,316
220,340
226.5,359.5
230,373
230.5,377
233,408
252,154
275,180
258.5,442
256,462
267,466
265,493
227.5,314
230,380
288.5,370.5
287.5,385
290,344
291,357
292,382.5
266.5,405.5
273.5,423.5
275.5,441
415,208
415,20
408,134
408,257
408,270
400,157
400,191
400,214
400,225
392,156.5
392,167
392,203
392,270
392,280
384,170
384,190
384,228
384,235
384,267
384,270
384,290
437,275
437,303
436,336
436,265
436,251
434,246
434,296
434,300
434,320.5
434,240
434,220
434,197
434,194
427,192
427,187
428,170
430,130
430,140
427,165
427,250
427,217
423,245
423,230
423,194
423,185
423,175
423,136
423,110
415,165
415,360
392,426
392,415
384,492
384,312
384,483
384,300
384,474
384,427
384,415
384,407
384,399
384,395
384,388
384,380
384,360
177,487
482,144
177,490
476,154
193,179
481,149
195.5,227
478,162
211,185
476,178
212,188
483,181
479.5,192
217.5,263
475,222
469,215
217,286
470,265
203,319
462,267.5
202,331
457,264.5
204,373
460,328
218,157
484,121.5
226,176
492,142
488,380
49,500
31,460
37.5,424
171,67
34,393
44,399
55,380
50,482.5
47,469
52,469
53,450
58.5,410
75,419
54,459
51,461
